id,owner,name,year,odokm,price,color,post_code,registration,price_guide,price_change,last_price_date,last_price_value,last_modified,date,url
2017-OAG-AD-20775350,dealer,2017 Toyota Corolla Hybrid Auto,2017,52937,29888,Blue Gem,4157,4 Months - October 2022,25030(23600.24950)-29888(26300.27700),cnt:1-amt:0-evts:[],,,None,2022-06-23,https://www.carsales.com.au/cars/details/2017-toyota-corolla-hybrid-auto/OAG-AD-20775350/
2019-OAG-AD-20696318,dealer,2019 Toyota Corolla Ascent Sport Hybrid Auto,2019,25334,31890,White,4170,None,30035(.)-31890(.),cnt:1-amt:0-evts:[],,,None,2022-06-23,https://www.carsales.com.au/cars/details/2019-toyota-corolla-ascent-sport-hybrid-auto/OAG-AD-20696318/
2018-OAG-AD-20679341,dealer,2018 Toyota Corolla Ascent Auto,2018,21632,24990,Silver Pearl,4170,None,20025(.)-24990(.),cnt:1-amt:0-evts:[],,,None,2022-06-23,https://www.carsales.com.au/cars/details/2018-toyota-corolla-ascent-auto/OAG-AD-20679341/
2020-OAG-AD-20737735,dealer,2020 Toyota Corolla ZR Auto,2020,15339,39345,White,4106,May 2022,35040(.)-39345(.),cnt:1-amt:0-evts:[],,,None,2022-06-23,https://www.carsales.com.au/cars/details/2020-toyota-corolla-zr-auto/OAG-AD-20737735/
2016-OAG-AD-20804869,dealer,2016 Toyota Corolla Ascent Sport Auto,2016,68262,21590,White,4170,None,20025(.)-21590(.),cnt:1-amt:0-evts:[],,,None,2022-06-23,https://www.carsales.com.au/cars/details/2016-toyota-corolla-ascent-sport-auto/OAG-AD-20804869/
2018-OAG-AD-20811927,dealer,2018 Toyota Corolla Ascent Sport Hybrid Auto,2018,47004,30990,White,4107,6 Months - December 2022,30035(.)-30990(.),cnt:1-amt:0-evts:[],,,None,2022-06-23,https://www.carsales.com.au/cars/details/2018-toyota-corolla-ascent-sport-hybrid-auto/OAG-AD-20811927/
2017-OAG-AD-20693905,dealer,2017 Toyota Corolla Hybrid Auto,2017,46005,29045,White,4106,March 2022,25030(.)-29045(.),cnt:1-amt:0-evts:[],,,None,2022-06-23,https://www.carsales.com.au/cars/details/2017-toyota-corolla-hybrid-auto/OAG-AD-20693905/
2018-OAG-AD-20770298,dealer,2018 Toyota Corolla Ascent Sport Auto,2018,70390,27490,Oxide Bronze,4009,None,25030(21300.22550)-27490(23700.25050),cnt:1-amt:0-evts:[],,,None,2022-06-23,https://www.carsales.com.au/cars/details/2018-toyota-corolla-ascent-sport-auto/OAG-AD-20770298/
2017-OAG-AD-20781971,dealer,2017 Toyota Corolla Ascent Auto,2017,48275,24990,Silver Ash,4170,None,20025(.)-24990(.),cnt:1-amt:0-evts:[],,,None,2022-06-23,https://www.carsales.com.au/cars/details/2017-toyota-corolla-ascent-auto/OAG-AD-20781971/
2019-OAG-AD-20811735,dealer,2019 Toyota Corolla Ascent Sport Hybrid Auto,2019,27062,33190,White,4170,None,30035(.)-33190(.),cnt:1-amt:0-evts:[],,,None,2022-06-23,https://www.carsales.com.au/cars/details/2019-toyota-corolla-ascent-sport-hybrid-auto/OAG-AD-20811735/
2019-OAG-AD-20685617,dealer,2019 Toyota Corolla Ascent Auto,2019,21141,29982,Silver Ash,4106,None,25030(.)-29982(.),cnt:1-amt:0-evts:[],,,None,2022-06-23,https://www.carsales.com.au/cars/details/2019-toyota-corolla-ascent-auto/OAG-AD-20685617/
2018-OAG-AD-20693711,dealer,2018 Toyota Corolla SX Auto,2018,32991,30190,Volcanic Red,4170,None,30035(.)-30190(.),cnt:1-amt:0-evts:[],,,None,2022-06-23,https://www.carsales.com.au/cars/details/2018-toyota-corolla-sx-auto/OAG-AD-20693711/
2017-OAG-AD-20796964,dealer,2017 Toyota Corolla Ascent Auto,2017,26276,25690,Glacier White,4170,None,25030(.)-25690(.),cnt:1-amt:0-evts:[],,,None,2022-06-23,https://www.carsales.com.au/cars/details/2017-toyota-corolla-ascent-auto/OAG-AD-20796964/
2019-OAG-AD-20718570,dealer,2019 Toyota Corolla Ascent Sport Hybrid Auto,2019,34388,32490,White,4170,None,30035(.)-32490(.),cnt:1-amt:0-evts:[],,,None,2022-06-23,https://www.carsales.com.au/cars/details/2019-toyota-corolla-ascent-sport-hybrid-auto/OAG-AD-20718570/
2017-OAG-AD-20801096,dealer,2017 Toyota Corolla Ascent Auto,2017,72767,21190,Glacier White,4170,None,20025(.)-21190(.),cnt:1-amt:0-evts:[],,,None,2022-06-23,https://www.carsales.com.au/cars/details/2017-toyota-corolla-ascent-auto/OAG-AD-20801096/
2019-OAG-AD-20696318,dealer,2019 Toyota Corolla Ascent Sport Hybrid Auto,2019,25334,31890,White,4170,None,30035(.)-31890(.),cnt:1-amt:0-evts:[],,,None,2022-06-23,https://www.carsales.com.au/cars/details/2019-toyota-corolla-ascent-sport-hybrid-auto/OAG-AD-20696318/
2018-OAG-AD-20696321,dealer,2018 Toyota Corolla Ascent Sport Auto,2018,30662,26990,Black,4170,None,25030(.)-26990(.),cnt:1-amt:0-evts:[],,,None,2022-06-23,https://www.carsales.com.au/cars/details/2018-toyota-corolla-ascent-sport-auto/OAG-AD-20696321/
2018-OAG-AD-20647730,dealer,2018 Toyota Corolla Ascent Sport Auto,2018,76474,21290,None,4170,None,20025(.)-21290(.),cnt:1-amt:0-evts:[],,,None,2022-06-23,https://www.carsales.com.au/cars/details/2018-toyota-corolla-ascent-sport-auto/OAG-AD-20647730/
2018-OAG-AD-20747346,dealer,2018 Toyota Corolla Ascent Sport Hybrid Auto,2018,10443,34490,Silver Pearl,4170,None,30035(.)-34490(.),cnt:1-amt:0-evts:[],,,None,2022-06-23,https://www.carsales.com.au/cars/details/2018-toyota-corolla-ascent-sport-hybrid-auto/OAG-AD-20747346/
2018-OAG-AD-20758402,dealer,2018 Toyota Corolla Ascent Sport Auto,2018,31610,27790,White,4170,None,25030(.)-27790(.),cnt:1-amt:0-evts:[],,,None,2022-06-23,https://www.carsales.com.au/cars/details/2018-toyota-corolla-ascent-sport-auto/OAG-AD-20758402/
2016-OAG-AD-20804869,dealer,2016 Toyota Corolla Ascent Sport Auto,2016,68262,21590,White,4170,None,20025(.)-21590(.),cnt:1-amt:0-evts:[],,,None,2022-06-23,https://www.carsales.com.au/cars/details/2016-toyota-corolla-ascent-sport-auto/OAG-AD-20804869/
