id,owner,name,year,odokm,price,color,post_code,registration,price_guide,price_change,last_price_date,last_price_value,last_modified,date,url
2012-SSE-AD-13038072,private,2012 Toyota Corolla Levin SX Auto,2012,72131,20990,white,4151,1 Month - July 2022,20025(13200.14150)-20990(15400.16500),cnt:1-amt:0-evts:[],,,2022-06-23,2022-06-23,https://www.carsales.com.au/cars/details/2012-toyota-corolla-levin-sx-auto/SSE-AD-13038072/
2015-SSE-AD-12895792,private,2015 Toyota Corolla SX Auto,2015,57000,24000,Inferno,4152,4 Months - October 2022,20025(18300.19500)-24000(20800.22100),cnt:1-amt:-2000-evts:[2022-05-29:26000;2022-06-04:24000],2022-06-04,24000,2022-06-04,2022-06-23,https://www.carsales.com.au/cars/details/2015-toyota-corolla-sx-auto/SSE-AD-12895792/
2012-SSE-AD-13038072,private,2012 Toyota Corolla Levin SX Auto,2012,72131,20990,white,4151,1 Month - July 2022,20025(13200.14150)-20990(15400.16500),cnt:1-amt:0-evts:[],,,2022-06-23,2022-06-23,https://www.carsales.com.au/cars/details/2012-toyota-corolla-levin-sx-auto/SSE-AD-13038072/
2012-SSE-AD-13021187,private,2012 Toyota Corolla Conquest Auto,2012,124152,14500,blue,4179,10 Months - April 2023,10015(9700.10600)-14500(11700.12550),cnt:1-amt:0-evts:[],,,2022-06-21,2022-06-23,https://www.carsales.com.au/cars/details/2012-toyota-corolla-conquest-auto/SSE-AD-13021187/
2015-SSE-AD-12895792,private,2015 Toyota Corolla SX Auto,2015,57000,24000,Inferno,4152,4 Months - October 2022,20025(18300.19500)-24000(20800.22100),cnt:1-amt:-2000-evts:[2022-05-29:26000;2022-06-04:24000],2022-06-04,24000,2022-06-04,2022-06-23,https://www.carsales.com.au/cars/details/2015-toyota-corolla-sx-auto/SSE-AD-12895792/
2012-SSE-AD-12916077,private,2012 Toyota Corolla Ascent Sport Auto,2012,139000,13000,blue,4300,5 Months - November 2022,10015(8800.9600)-13000(10700.11500),cnt:1-amt:0-evts:[],,,2022-06-02,2022-06-23,https://www.carsales.com.au/cars/details/2012-toyota-corolla-ascent-sport-auto/SSE-AD-12916077/
2016-SSE-AD-13034103,private,2016 Toyota Corolla ZR Auto,2016,68386,24500,Glacier White,4510,1 Month - July 2022,20025(21400.22700)-24500(24100.25400),cnt:1-amt:0-evts:[],,,2022-06-22,2022-06-23,https://www.carsales.com.au/cars/details/2016-toyota-corolla-zr-auto/SSE-AD-13034103/
2016-SSE-AD-12934854,private,2016 Toyota Corolla SX Auto,2016,67000,21499,Glacier White,4165,6 Months - December 2022,20025(18100.19300)-21499(20500.21750),cnt:1-amt:-1501-evts:[2022-06-05:23000;2022-06-18:21499],2022-06-18,21499,2022-06-19,2022-06-23,https://www.carsales.com.au/cars/details/2016-toyota-corolla-sx-auto/SSE-AD-12934854/
2018-SSE-AD-12935188,private,2018 Toyota Corolla Ascent Sport Auto,2018,104474,20000,Inferno,4030,3 Months - September 2022,20020(20200.21500)-20000(22600.23900),cnt:1-amt:-1000-evts:[2022-06-05:21000;2022-06-19:20000],2022-06-19,20000,2022-06-19,2022-06-23,https://www.carsales.com.au/cars/details/2018-toyota-corolla-ascent-sport-auto/SSE-AD-12935188/
2016-SSE-AD-12973651,private,2016 Toyota Corolla Ascent Sport Auto,2016,41978,23600,Crystal Pearl,4109,5 Months - November 2022,20025(17600.18800)-23600(19900.21150),cnt:1-amt:0-evts:[],,,2022-06-12,2022-06-23,https://www.carsales.com.au/cars/details/2016-toyota-corolla-ascent-sport-auto/SSE-AD-12973651/
2019-SSE-AD-13017173,private,2019 Toyota Corolla Ascent Sport Hybrid Auto,2019,29900,29990,Crystal Pearl,4511,6 Months - December 2022,25030(24200.25600)-29990(26900.28250),cnt:1-amt:0-evts:[],,,2022-06-19,2022-06-23,https://www.carsales.com.au/cars/details/2019-toyota-corolla-ascent-sport-hybrid-auto/SSE-AD-13017173/
2020-SSE-AD-13006953,private,2020 Toyota Corolla ZR Hybrid Auto,2020,24000,40000,Silver Pearl,4506,1 Month - July 2022,40040(33800.35450)-40000(36900.38700),cnt:1-amt:0-evts:[],,,2022-06-20,2022-06-23,https://www.carsales.com.au/cars/details/2020-toyota-corolla-zr-hybrid-auto/SSE-AD-13006953/
2019-SSE-AD-12800295,private,2019 Toyota Corolla ZR Hybrid Auto,2019,45663,35000,Eclipse Black,4173,4 Months - October 2022,35035(30200.31750)-35000(33200.34850),cnt:3-amt:-1999-evts:[2022-05-22:36999;2022-05-26:36999;2022-06-07:35000],2022-06-07,35000,2022-06-17,2022-06-23,https://www.carsales.com.au/cars/details/2019-toyota-corolla-zr-hybrid-auto/SSE-AD-12800295/
2019-SSE-AD-12749874,private,2019 Toyota Corolla ZR Auto,2019,51000,32000,Crystal Pearl,4280,4 Months - October 2022,30035(28300.29750)-32000(31100.32700),cnt:1-amt:0-evts:[],,,2022-05-24,2022-06-23,https://www.carsales.com.au/cars/details/2019-toyota-corolla-zr-auto/SSE-AD-12749874/
2019-SSE-AD-13002472,private,2019 Toyota Corolla Ascent Auto,2019,20387,27900,Glacier White,4017,10 Months - April 2023,25030(19800.21050)-27900(22100.23400),cnt:1-amt:0-evts:[],,,2022-06-17,2022-06-23,https://www.carsales.com.au/cars/details/2019-toyota-corolla-ascent-auto/SSE-AD-13002472/
2015-SSE-AD-12820216,private,2015 Toyota Corolla Ascent Sport Auto,2015,100717,17500,white,4212,6 Months - December 2022,15020(14700.15700)-17500(16800.17950),cnt:1-amt:0-evts:[],,,2022-05-14,2022-06-23,https://www.carsales.com.au/cars/details/2015-toyota-corolla-ascent-sport-auto/SSE-AD-12820216/
2015-SSE-AD-12945774,private,2015 Toyota Corolla Ascent Auto,2015,73050,18750,Glacier White,4170,2 Months - August 2022,15020(15600.16700)-18750(17800.19000),cnt:1-amt:-750-evts:[2022-06-07:19500;2022-06-16:18750],2022-06-16,18750,2022-06-21,2022-06-23,https://www.carsales.com.au/cars/details/2015-toyota-corolla-ascent-auto/SSE-AD-12945774/
2018-SSE-AD-12990859,private,2018 Toyota Corolla Ascent Auto,2018,126000,19750,Glacier White,4011,June 2022,15020(19200.20450)-19750(21500.22800),cnt:1-amt:0-evts:[],,,2022-06-15,2022-06-23,https://www.carsales.com.au/cars/details/2018-toyota-corolla-ascent-auto/SSE-AD-12990859/
