id,name,year,odokm,price,grade,drive,owner,url,date
2019-AWD-OAG-AD-20599670,2019 Toyota Kluger Grande Auto AWD,2019,46649,56990,3,AWD,dealer,https://www.carsales.com.au/cars/details/2019-toyota-kluger-grande-auto-awd/OAG-AD-20599670/,2022-06-18
2018-AWD-OAG-AD-20601144,2018 Toyota Kluger Grande Auto AWD,2018,58567,53990,3,AWD,dealer,https://www.carsales.com.au/cars/details/2018-toyota-kluger-grande-auto-awd/OAG-AD-20601144/,2022-06-18
2016-2WD-OAG-AD-20740556,2016 Toyota Kluger GX Auto 2WD,2016,89881,34190,1,2WD,dealer,https://www.carsales.com.au/cars/details/2016-toyota-kluger-gx-auto-2wd/OAG-AD-20740556/,2022-06-18
2018-2WD-OAG-AD-20805315,2018 Toyota Kluger GXL Auto 2WD,2018,39848,50290,2,2WD,dealer,https://www.carsales.com.au/cars/details/2018-toyota-kluger-gxl-auto-2wd/OAG-AD-20805315/,2022-06-18
2018-2WD-OAG-AD-20684339,2018 Toyota Kluger GXL Auto 2WD,2018,86772,45490,2,2WD,dealer,https://www.carsales.com.au/cars/details/2018-toyota-kluger-gxl-auto-2wd/OAG-AD-20684339/,2022-06-18
2018-AWD-OAG-AD-20601144,2018 Toyota Kluger Grande Auto AWD,2018,58567,53990,3,AWD,dealer,https://www.carsales.com.au/cars/details/2018-toyota-kluger-grande-auto-awd/OAG-AD-20601144/,2022-06-18
2016-2WD-OAG-AD-20740556,2016 Toyota Kluger GX Auto 2WD,2016,89881,34190,1,2WD,dealer,https://www.carsales.com.au/cars/details/2016-toyota-kluger-gx-auto-2wd/OAG-AD-20740556/,2022-06-18
2014-AWD-OAG-AD-20768266,2014 Toyota Kluger GXL Auto AWD,2014,119500,35990,2,AWD,dealer,https://www.carsales.com.au/cars/details/2014-toyota-kluger-gxl-auto-awd/OAG-AD-20768266/,2022-06-18
2018-AWD-OAG-AD-20547197,2018 Toyota Kluger GXL Auto AWD,2018,61469,49886,2,AWD,dealer,https://www.carsales.com.au/cars/details/2018-toyota-kluger-gxl-auto-awd/OAG-AD-20547197/,2022-06-18
2015-2WD-OAG-AD-20354855,2015 Toyota Kluger Grande Auto 2WD,2015,74002,40190,3,2WD,dealer,https://www.carsales.com.au/cars/details/2015-toyota-kluger-grande-auto-2wd/OAG-AD-20354855/,2022-06-18
2017-2WD-OAG-AD-20696326,2017 Toyota Kluger GX Auto 2WD,2017,55499,41390,1,2WD,dealer,https://www.carsales.com.au/cars/details/2017-toyota-kluger-gx-auto-2wd/OAG-AD-20696326/,2022-06-18
2013-AWD-OAG-AD-20756270,2013 Toyota Kluger KX-S Auto AWD,2013,80153,32990,2,AWD,dealer,https://www.carsales.com.au/cars/details/2013-toyota-kluger-kx-s-auto-awd/OAG-AD-20756270/,2022-06-18
2016-2WD-OAG-AD-20740735,2016 Toyota Kluger GXL Auto 2WD,2016,91902,41650,2,2WD,dealer,https://www.carsales.com.au/cars/details/2016-toyota-kluger-gxl-auto-2wd/OAG-AD-20740735/,2022-06-18
2017-AWD-OAG-AD-20733257,2017 Toyota Kluger GX Auto AWD,2017,111273,35990,1,AWD,dealer,https://www.carsales.com.au/cars/details/2017-toyota-kluger-gx-auto-awd/OAG-AD-20733257/,2022-06-18
2018-2WD-OAG-AD-20805315,2018 Toyota Kluger GXL Auto 2WD,2018,39848,50290,2,2WD,dealer,https://www.carsales.com.au/cars/details/2018-toyota-kluger-gxl-auto-2wd/OAG-AD-20805315/,2022-06-18
2018-2WD-OAG-AD-20397824,2018 Toyota Kluger GXL Auto 2WD,2018,60938,45990,2,2WD,dealer,https://www.carsales.com.au/cars/details/2018-toyota-kluger-gxl-auto-2wd/OAG-AD-20397824/,2022-06-18
2016-AWD-OAG-AD-20689841,2016 Toyota Kluger GX Auto AWD,2016,64137,38390,1,AWD,dealer,https://www.carsales.com.au/cars/details/2016-toyota-kluger-gx-auto-awd/OAG-AD-20689841/,2022-06-18
2018-2WD-OAG-AD-20333423,2018 Toyota Kluger GXL Auto 2WD,2018,36697,49890,2,2WD,dealer,https://www.carsales.com.au/cars/details/2018-toyota-kluger-gxl-auto-2wd/OAG-AD-20333423/,2022-06-18
2019-2WD-OAG-AD-20338068,2019 Toyota Kluger GXL Auto 2WD,2019,44889,49190,2,2WD,dealer,https://www.carsales.com.au/cars/details/2019-toyota-kluger-gxl-auto-2wd/OAG-AD-20338068/,2022-06-18
2018-2WD-OAG-AD-20816458,2018 Toyota Kluger GXL Auto 2WD,2018,60665,47490,2,2WD,dealer,https://www.carsales.com.au/cars/details/2018-toyota-kluger-gxl-auto-2wd/OAG-AD-20816458/,2022-06-18
2014-2WD-OAG-AD-20669024,2014 Toyota Kluger Grande Auto 2WD,2014,68669,42990,3,2WD,dealer,https://www.carsales.com.au/cars/details/2014-toyota-kluger-grande-auto-2wd/OAG-AD-20669024/,2022-06-18
2017-2WD-OAG-AD-20749788,2017 Toyota Kluger GX Auto 2WD,2017,135100,36990,1,2WD,dealer,https://www.carsales.com.au/cars/details/2017-toyota-kluger-gx-auto-2wd/OAG-AD-20749788/,2022-06-18
2018-AWD-OAG-AD-20689129,2018 Toyota Kluger GX Auto AWD,2018,112984,42888,1,AWD,dealer,https://www.carsales.com.au/cars/details/2018-toyota-kluger-gx-auto-awd/OAG-AD-20689129/,2022-06-18
2018-AWD-OAG-AD-20761046,2018 Toyota Kluger GX Auto AWD,2018,66278,43990,1,AWD,dealer,https://www.carsales.com.au/cars/details/2018-toyota-kluger-gx-auto-awd/OAG-AD-20761046/,2022-06-18
2015-2WD-OAG-AD-20610161,2015 Toyota Kluger GXL Auto 2WD,2015,79932,36254,2,2WD,dealer,https://www.carsales.com.au/cars/details/2015-toyota-kluger-gxl-auto-2wd/OAG-AD-20610161/,2022-06-18
2018-2WD-OAG-AD-20597277,2018 Toyota Kluger GXL Auto 2WD,2018,73884,45490,2,2WD,dealer,https://www.carsales.com.au/cars/details/2018-toyota-kluger-gxl-auto-2wd/OAG-AD-20597277/,2022-06-18
2012-2WD-OAG-AD-20695130,2012 Toyota Kluger Grande Auto 2WD MY12,2012,76654,29980,3,2WD,dealer,https://www.carsales.com.au/cars/details/2012-toyota-kluger-grande-auto-2wd-my12/OAG-AD-20695130/,2022-06-18
2017-2WD-OAG-AD-20686845,2017 Toyota Kluger GX Auto 2WD,2017,74000,37990,1,2WD,dealer,https://www.carsales.com.au/cars/details/2017-toyota-kluger-gx-auto-2wd/OAG-AD-20686845/,2022-06-18
2017-2WD-OAG-AD-20587614,2017 Toyota Kluger GX Auto 2WD,2017,70377,36990,1,2WD,dealer,https://www.carsales.com.au/cars/details/2017-toyota-kluger-gx-auto-2wd/OAG-AD-20587614/,2022-06-18
2018-AWD-OAG-AD-20778938,2018 Toyota Kluger GXL Auto AWD,2018,23738,54990,2,AWD,dealer,https://www.carsales.com.au/cars/details/2018-toyota-kluger-gxl-auto-awd/OAG-AD-20778938/,2022-06-18
2019-AWD-OAG-AD-20662727,2019 Toyota Kluger GX Auto AWD,2019,49662,46950,1,AWD,dealer,https://www.carsales.com.au/cars/details/2019-toyota-kluger-gx-auto-awd/OAG-AD-20662727/,2022-06-18
2019-AWD-OAG-AD-20681927,2019 Toyota Kluger GX Auto AWD,2019,48692,45698,1,AWD,dealer,https://www.carsales.com.au/cars/details/2019-toyota-kluger-gx-auto-awd/OAG-AD-20681927/,2022-06-18
2019-AWD-OAG-AD-20584569,2019 Toyota Kluger GX Auto AWD,2019,48648,46327,1,AWD,dealer,https://www.carsales.com.au/cars/details/2019-toyota-kluger-gx-auto-awd/OAG-AD-20584569/,2022-06-18
2017-2WD-OAG-AD-20815855,2017 Toyota Kluger GX Auto 2WD,2017,109781,37894,1,2WD,dealer,https://www.carsales.com.au/cars/details/2017-toyota-kluger-gx-auto-2wd/OAG-AD-20815855/,2022-06-18
2014-2WD-OAG-AD-20693025,2014 Toyota Kluger GXL Auto 2WD,2014,143483,29990,2,2WD,dealer,https://www.carsales.com.au/cars/details/2014-toyota-kluger-gxl-auto-2wd/OAG-AD-20693025/,2022-06-18
2017-AWD-OAG-AD-20560137,2017 Toyota Kluger GX Auto AWD,2017,109552,41990,1,AWD,dealer,https://www.carsales.com.au/cars/details/2017-toyota-kluger-gx-auto-awd/OAG-AD-20560137/,2022-06-18
2016-AWD-OAG-AD-20831719,2016 Toyota Kluger Grande Auto AWD,2016,139213,41990,3,AWD,dealer,https://www.carsales.com.au/cars/details/2016-toyota-kluger-grande-auto-awd/OAG-AD-20831719/,2022-06-18
2014-AWD-OAG-AD-20684158,2014 Toyota Kluger Grande Auto AWD,2014,93783,42990,3,AWD,dealer,https://www.carsales.com.au/cars/details/2014-toyota-kluger-grande-auto-awd/OAG-AD-20684158/,2022-06-18
2015-2WD-OAG-AD-20760681,2015 Toyota Kluger GX Auto 2WD,2015,99414,32990,1,2WD,dealer,https://www.carsales.com.au/cars/details/2015-toyota-kluger-gx-auto-2wd/OAG-AD-20760681/,2022-06-18
2017-2WD-OAG-AD-20652846,2017 Toyota Kluger GX Auto 2WD,2017,94096,37990,1,2WD,dealer,https://www.carsales.com.au/cars/details/2017-toyota-kluger-gx-auto-2wd/OAG-AD-20652846/,2022-06-18
2013-2WD-OAG-AD-20816983,2013 Toyota Kluger KX-R Auto 2WD,2013,126231,20995,1,2WD,dealer,https://www.carsales.com.au/cars/details/2013-toyota-kluger-kx-r-auto-2wd/OAG-AD-20816983/,2022-06-18
2018-AWD-OAG-AD-20512208,2018 Toyota Kluger GXL Auto AWD,2018,48665,49990,2,AWD,dealer,https://www.carsales.com.au/cars/details/2018-toyota-kluger-gxl-auto-awd/OAG-AD-20512208/,2022-06-18
2018-AWD-OAG-AD-20538408,2018 Toyota Kluger GX Auto AWD,2018,47227,40992,1,AWD,dealer,https://www.carsales.com.au/cars/details/2018-toyota-kluger-gx-auto-awd/OAG-AD-20538408/,2022-06-18
2019-AWD-OAG-AD-20825955,2019 Toyota Kluger Grande Auto AWD,2019,85739,53000,3,AWD,dealer,https://www.carsales.com.au/cars/details/2019-toyota-kluger-grande-auto-awd/OAG-AD-20825955/,2022-06-18
2015-2WD-OAG-AD-20753419,2015 Toyota Kluger GX Auto 2WD,2015,146233,28746,1,2WD,dealer,https://www.carsales.com.au/cars/details/2015-toyota-kluger-gx-auto-2wd/OAG-AD-20753419/,2022-06-18
2015-2WD-OAG-AD-20810036,2015 Toyota Kluger GXL Auto 2WD,2015,129064,34672,2,2WD,dealer,https://www.carsales.com.au/cars/details/2015-toyota-kluger-gxl-auto-2wd/OAG-AD-20810036/,2022-06-18
2018-2WD-OAG-AD-20810571,2018 Toyota Kluger GXL Auto 2WD,2018,76862,42999,2,2WD,dealer,https://www.carsales.com.au/cars/details/2018-toyota-kluger-gxl-auto-2wd/OAG-AD-20810571/,2022-06-18
2017-2WD-OAG-AD-20760661,2017 Toyota Kluger GX Auto 2WD,2017,130575,36990,1,2WD,dealer,https://www.carsales.com.au/cars/details/2017-toyota-kluger-gx-auto-2wd/OAG-AD-20760661/,2022-06-18
2018-AWD-OAG-AD-20726476,2018 Toyota Kluger GX Auto AWD,2018,140922,36371,1,AWD,dealer,https://www.carsales.com.au/cars/details/2018-toyota-kluger-gx-auto-awd/OAG-AD-20726476/,2022-06-18
2014-2WD-OAG-AD-20695501,2014 Toyota Kluger GX Auto 2WD,2014,134568,30488,1,2WD,dealer,https://www.carsales.com.au/cars/details/2014-toyota-kluger-gx-auto-2wd/OAG-AD-20695501/,2022-06-18
