name,year,odokm,price,grade,drive,owner,url,date
2005 Toyota Kluger CV Auto AWD MY06,2005,234484,8500,1,AWD,private,https://www.carsales.com.au/cars/details/2005-toyota-kluger-cv-auto-awd-my06/SSE-AD-12777779/,2022-06-03 21:52:03.293199
2006 Toyota Kluger Grande Auto AWD MY06,2006,156500,9990,3,AWD,private,https://www.carsales.com.au/cars/details/2006-toyota-kluger-grande-auto-awd-my06/SSE-AD-12604650/,2022-06-03 21:52:03.293199
2006 Toyota Kluger CV Auto AWD MY06,2006,226500,9500,1,AWD,private,https://www.carsales.com.au/cars/details/2006-toyota-kluger-cv-auto-awd-my06/SSE-AD-12836476/,2022-06-03 21:52:03.293199
2007 Toyota Kluger KX-R Auto AWD,2007,235715,12999,1,AWD,dealer,https://www.carsales.com.au/cars/details/2007-toyota-kluger-kx-r-auto-awd/OAG-AD-20708137/,2022-06-03 21:52:03.293199
2007 Toyota Kluger KX-R Auto AWD,2007,287070,16500,1,AWD,private,https://www.carsales.com.au/cars/details/2007-toyota-kluger-kx-r-auto-awd/SSE-AD-12789272/,2022-06-03 21:52:03.293199
2008 Toyota Kluger Grande Auto 2WD,2008,392434,12000,3,2WD,private,https://www.carsales.com.au/cars/details/2008-toyota-kluger-grande-auto-2wd/SSE-AD-12862287/,2022-06-03 21:52:03.293199
2008 Toyota Kluger KX-S Auto 2WD,2008,245500,15990,2,2WD,dealer,https://www.carsales.com.au/cars/details/2008-toyota-kluger-kx-s-auto-2wd/OAG-AD-20730053/,2022-06-03 21:52:03.293199
2008 Toyota Kluger KX-S Auto AWD,2008,277651,12500,2,AWD,private,https://www.carsales.com.au/cars/details/2008-toyota-kluger-kx-s-auto-awd/SSE-AD-12206401/,2022-06-03 21:52:03.293199
2008 Toyota Kluger KX-R Auto AWD,2008,137104,22990,1,AWD,dealer,https://www.carsales.com.au/cars/details/2008-toyota-kluger-kx-r-auto-awd/OAG-AD-20652674/,2022-06-03 21:52:03.293199
2008 Toyota Kluger KX-R Auto 2WD,2008,170411,15900,1,2WD,private,https://www.carsales.com.au/cars/details/2008-toyota-kluger-kx-r-auto-2wd/SSE-AD-12654588/,2022-06-03 21:52:03.293199
2008 Toyota Kluger KX-R Auto AWD,2008,219000,13500,1,AWD,private,https://www.carsales.com.au/cars/details/2008-toyota-kluger-kx-r-auto-awd/SSE-AD-12413725/,2022-06-03 21:52:03.293199
2008 Toyota Kluger KX-S Auto 2WD,2008,165500,16500,2,2WD,private,https://www.carsales.com.au/cars/details/2008-toyota-kluger-kx-s-auto-2wd/SSE-AD-12858158/,2022-06-03 21:52:03.293199
