,sold_price,sold_date,rent_price,rent_date,house_address
18,900000,2022-12-16,800,2023-03-16,3 peron cres north lakes qld 4509 16020040
15,507000,2015-10-08,750,2023-01-20,10 cordyline st north lakes qld 4509 3154238
30,1000000,2023-01-09,1000,2022-12-20,61 attenborough cct north lakes qld 4509 20970820
8,905000,2022-03-18,800,2022-10-07,12 cooksland cres north lakes qld 4509 5419911
17,720000,2021-02-22,750,2022-04-06,63 possum pde north lakes qld 4509 3157205
7,853000,2021-10-10,700,2022-01-24,17 heathcote ave north lakes qld 4509 5422063
11,250000,2008-06-28,365,2021-10-13,10 quoll cct north lakes qld 4509 3157783
12,197000,2007-06-20,595,2021-01-12,11 ballesteros st north lakes qld 4509 3157534
9,1110000,2021-03-01,1000,2020-12-19,16 woodward cres north lakes qld 4509 20713812
34,535000,2015-11-16,650,2020-10-09,75 pademelon cct north lakes qld 4509 15840145
35,530000,2021-05-31,460,2020-07-16,7 whitfield cres north lakes qld 4509 5422592
21,730000,2021-01-20,625,2019-11-04,1 morgan st north lakes qld 4509 3159179
4,600000,2020-11-29,630,2019-08-09,8 byfield st north lakes qld 4509 4709355
27,790000,2022-02-08,470,2019-02-15,9 ninderry st north lakes qld 4509 3156388
28,750000,2021-03-18,640,2019-02-08,52 pandorea cct north lakes qld 4509 3153635
26,640000,2022-08-30,475,2018-08-08,6 knox st north lakes qld 4509 3157684
33,770000,2022-12-03,400,2018-01-16,45 grampion cct north lakes qld 4509 5421027
24,830000,2021-12-06,480,2017-10-30,1 dickson cres north lakes qld 4509 17697457
1,575000,2021-03-29,480,2017-08-15,34 cowen tce north lakes qld 4509 15893176
23,242280,2013-09-20,520,2016-06-07,56 ravensbourne cres north lakes qld 4509 18526146
0,655000,2021-03-07,510,2015-04-21,7 senior cl north lakes qld 4509 5424032
16,545000,2021-07-12,470,2015-01-03,11 palmerston st north lakes qld 4509 18687297
13,755000,2022-08-25,550,2014-11-25,38 langham cres north lakes qld 4509 5866167
31,805000,2021-08-18,640,2013-09-05,9 els ct north lakes qld 4509 3669780
2,685000,2016-02-22,700,2013-05-04,30 gannet cct north lakes qld 4509 5423694
3,560000,2015-03-02,580,2013-02-08,12 chilton cres north lakes qld 4509 5419932
32,650000,2016-03-15,335,2010-12-03,16 quoll cct north lakes qld 4509 20947335
5,760000,2021-11-01,470,2010-07-16,14 riley ct north lakes qld 4509 5424945
22,550000,2015-12-31,450,2009-05-15,8 moorrinya cct north lakes qld 4509 5422091
10,625000,2009-07-30,595,2009-02-23,1 lester pl north lakes qld 4509 5622878
19,900000,2021-11-29,510,2007-11-29,25 bridgeport dr north lakes qld 4509 19325044
20,511000,2009-11-04,450,2007-06-27,3 millettia cl north lakes qld 4509 3153798
29,1050000,2021-10-09,600,2005-10-21,110 copeland dr north lakes qld 4509 3157578
