,house_href
0,/property/qld/north-lakes-4509/7-senior-cl-north-lakes-qld-4509-5424032
1,/property/qld/north-lakes-4509/34-cowen-tce-north-lakes-qld-4509-15893176
2,/property/qld/north-lakes-4509/30-gannet-cct-north-lakes-qld-4509-5423694
3,/property/qld/north-lakes-4509/12-chilton-cres-north-lakes-qld-4509-5419932
4,/property/qld/north-lakes-4509/8-byfield-st-north-lakes-qld-4509-4709355
5,/property/qld/north-lakes-4509/14-riley-ct-north-lakes-qld-4509-5424945
6,/property/qld/north-lakes-4509/22-allenby-cl-north-lakes-qld-4509-5424160
7,/property/qld/north-lakes-4509/53-dusky-st-north-lakes-qld-4509-3158326
8,/property/qld/north-lakes-4509/40-swords-pde-north-lakes-qld-4509-5421849
9,/property/qld/north-lakes-4509/89-sears-pde-north-lakes-qld-4509-9252728
10,/property/qld/north-lakes-4509/13-northcott-st-north-lakes-qld-4509-18489850
11,/property/qld/north-lakes-4509/4-mcniven-ct-north-lakes-qld-4509-18786709
12,/property/qld/north-lakes-4509/43-wallaroo-cct-north-lakes-qld-4509-3155194
13,/property/qld/north-lakes-4509/19-woodward-cres-north-lakes-qld-4509-19688786
14,/property/qld/north-lakes-4509/28-gibbs-st-north-lakes-qld-4509-3379889
15,/property/qld/north-lakes-4509/17-heathcote-ave-north-lakes-qld-4509-5422063
16,/property/qld/north-lakes-4509/12-cooksland-cres-north-lakes-qld-4509-5419911
17,/property/qld/north-lakes-4509/16-woodward-cres-north-lakes-qld-4509-20713812
18,/property/qld/north-lakes-4509/1-lester-pl-north-lakes-qld-4509-5622878
19,/property/qld/north-lakes-4509/10-quoll-cct-north-lakes-qld-4509-3157783
20,/property/qld/north-lakes-4509/1-douglas-cct-north-lakes-qld-4509-5423435
21,/property/qld/north-lakes-4509/52-copeland-dr-north-lakes-qld-4509-5420923
22,/property/qld/north-lakes-4509/3-dickson-cres-north-lakes-qld-4509-17709652
23,/property/qld/north-lakes-4509/11-ballesteros-st-north-lakes-qld-4509-3157534
24,/property/qld/north-lakes-4509/28-astley-pde-north-lakes-qld-4509-3379659
25,/property/qld/north-lakes-4509/6-everard-st-north-lakes-qld-4509-4923022
26,/property/qld/north-lakes-4509/38-langham-cres-north-lakes-qld-4509-5866167
27,/property/qld/north-lakes-4509/6-midyim-st-north-lakes-qld-4509-3567617
28,/property/qld/north-lakes-4509/24-cheviot-st-north-lakes-qld-4509-5422358
29,/property/qld/north-lakes-4509/10-cordyline-st-north-lakes-qld-4509-3154238
30,/property/qld/north-lakes-4509/19-sundown-cct-north-lakes-qld-4509-19739407
31,/property/qld/north-lakes-4509/10-lacebark-st-north-lakes-qld-4509-5425297
32,/property/qld/north-lakes-4509/61-possum-pde-north-lakes-qld-4509-3156138
33,/property/qld/north-lakes-4509/12-lamb-st-north-lakes-qld-4509-5421831
34,/property/qld/north-lakes-4509/30-lochside-dr-north-lakes-qld-4509-5420025
35,/property/qld/north-lakes-4509/31-copeland-dr-north-lakes-qld-4509-19349837
36,/property/qld/north-lakes-4509/7-gannet-cct-north-lakes-qld-4509-3158601
37,/property/qld/north-lakes-4509/70-birkdale-cct-north-lakes-qld-4509-19454821
38,/property/qld/north-lakes-4509/9-nicholas-st-north-lakes-qld-4509-5420614
39,/property/qld/north-lakes-4509/75-ravensbourne-cres-north-lakes-qld-4509-40118112
40,/property/qld/north-lakes-4509/10-kakadu-ct-north-lakes-qld-4509-11171188
41,/property/qld/north-lakes-4509/11-palmerston-st-north-lakes-qld-4509-18687297
42,/property/qld/north-lakes-4509/16-millettia-cl-north-lakes-qld-4509-3153497
43,/property/qld/north-lakes-4509/38-augusta-pde-north-lakes-qld-4509-18776871
44,/property/qld/north-lakes-4509/10-lamb-st-north-lakes-qld-4509-3156125
45,/property/qld/north-lakes-4509/19-kennedia-ct-north-lakes-qld-4509-5425085
46,/property/qld/north-lakes-4509/3-midyim-st-north-lakes-qld-4509-3153844
47,/property/qld/north-lakes-4509/63-possum-pde-north-lakes-qld-4509-3157205
48,/property/qld/north-lakes-4509/3-peron-cres-north-lakes-qld-4509-16020040
49,/property/qld/north-lakes-4509/35-echidna-pde-north-lakes-qld-4509-3157651
50,/property/qld/north-lakes-4509/18-campion-dr-north-lakes-qld-4509-5419949
51,/property/qld/north-lakes-4509/16-greygum-st-north-lakes-qld-4509-4955224
52,/property/qld/north-lakes-4509/11-kowari-cres-north-lakes-qld-4509-3157412
53,/property/qld/north-lakes-4509/54-birkdale-cct-north-lakes-qld-4509-19587081
54,/property/qld/north-lakes-4509/8-wallaroo-cct-north-lakes-qld-4509-3154620
55,/property/qld/north-lakes-4509/3-greygum-st-north-lakes-qld-4509-3154452
56,/property/qld/north-lakes-4509/33-morfontaine-st-north-lakes-qld-4509-15076229
57,/property/qld/north-lakes-4509/25-bridgeport-dr-north-lakes-qld-4509-19325044
58,/property/qld/north-lakes-4509/7-planigale-cres-north-lakes-qld-4509-3157876
59,/property/qld/north-lakes-4509/5-chesterton-ct-north-lakes-qld-4509-3159078
60,/property/qld/north-lakes-4509/65-denham-cres-north-lakes-qld-4509-19415062
61,/property/qld/north-lakes-4509/4-shoreacres-st-north-lakes-qld-4509-16038648
62,/property/qld/north-lakes-4509/11-faldo-ct-north-lakes-qld-4509-4868551
63,/property/qld/north-lakes-4509/10-tamarind-st-north-lakes-qld-4509-3153364
64,/property/qld/north-lakes-4509/24-eureka-st-north-lakes-qld-4509-9252660
65,/property/qld/north-lakes-4509/3-millettia-cl-north-lakes-qld-4509-3153798
66,/property/qld/north-lakes-4509/1-morgan-st-north-lakes-qld-4509-3159179
67,/property/qld/north-lakes-4509/8-hoya-cl-north-lakes-qld-4509-3154154
68,/property/qld/north-lakes-4509/66-mapleton-dr-north-lakes-qld-4509-20005868
69,/property/qld/north-lakes-4509/22-lochside-dr-north-lakes-qld-4509-3318408
70,/property/qld/north-lakes-4509/5-shoreacres-st-north-lakes-qld-4509-16038640
71,/property/qld/north-lakes-4509/23-jersey-st-north-lakes-qld-4509-20509650
72,/property/qld/north-lakes-4509/8-moorrinya-cct-north-lakes-qld-4509-5422091
73,/property/qld/north-lakes-4509/14-nicholas-st-north-lakes-qld-4509-5420612
74,/property/qld/north-lakes-4509/12-lochside-dr-north-lakes-qld-4509-5420201
75,/property/qld/north-lakes-4509/29-astley-pde-north-lakes-qld-4509-4694378
76,/property/qld/north-lakes-4509/23-elsey-cct-north-lakes-qld-4509-18538321
77,/property/qld/north-lakes-4509/6-byfield-st-north-lakes-qld-4509-5422177
78,/property/qld/north-lakes-4509/19-grampion-cct-north-lakes-qld-4509-4868555
79,/property/qld/north-lakes-4509/24-augusta-pde-north-lakes-qld-4509-11573827
80,/property/qld/north-lakes-4509/28-wallaroo-cct-north-lakes-qld-4509-3154655
81,/property/qld/north-lakes-4509/14-hartley-cres-north-lakes-qld-4509-11158022
82,/property/qld/north-lakes-4509/21-planigale-cres-north-lakes-qld-4509-4952095
83,/property/qld/north-lakes-4509/27-friars-cres-north-lakes-qld-4509-10232244
84,/property/qld/north-lakes-4509/19-kennedy-ct-north-lakes-qld-4509-15893122
85,/property/qld/north-lakes-4509/56-ravensbourne-cres-north-lakes-qld-4509-18526146
86,/property/qld/north-lakes-4509/1-dickson-cres-north-lakes-qld-4509-17697457
87,/property/qld/north-lakes-4509/102-copeland-dr-north-lakes-qld-4509-5422560
88,/property/qld/north-lakes-4509/19-morwell-cres-north-lakes-qld-4509-3158235
89,/property/qld/north-lakes-4509/18-kangaroo-st-north-lakes-qld-4509-3155035
90,/property/qld/north-lakes-4509/3-harrison-st-north-lakes-qld-4509-15850808
91,/property/qld/north-lakes-4509/3-campion-dr-north-lakes-qld-4509-5419941
92,/property/qld/north-lakes-4509/8-brushtail-st-north-lakes-qld-4509-11527017
93,/property/qld/north-lakes-4509/6-birkdale-cct-north-lakes-qld-4509-16080030
94,/property/qld/north-lakes-4509/31-morfontaine-st-north-lakes-qld-4509-11637915
95,/property/qld/north-lakes-4509/79-possum-pde-north-lakes-qld-4509-3156670
96,/property/qld/north-lakes-4509/16-kennedy-ct-north-lakes-qld-4509-15850807
97,/property/qld/north-lakes-4509/8-forrestal-cct-north-lakes-qld-4509-3379769
98,/property/qld/north-lakes-4509/12-ainslie-st-north-lakes-qld-4509-3154696
